description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1	1	2		100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Amulet -> Virulent Amulet	0				100					4	"amu,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Ring -> Virulent Ring	0				100					4	"ring,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Helm -> Virulent Helm	0				100					4	"helm,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Boots -> Virulent Boots	0				100					4	"boot,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Gloves -> Virulent Gloves	0				100					4	"glov,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Armor -> Virulent Armor	0				100					4	"tors,mag"	r18	gpg	xa1				"useitem,pre=676"				pierce-pois			2	8																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Weapon -> Virulent Weapon	0				100					4	"weap,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Shield -> Virulent Shield	0				100					4	"shie,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Small Charm -> Virulent Small Charm	0				100					4	"scha,mag"	r18	gpg	xa1				"useitem,pre=671"				pierce-pois			1	1																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Large Charm -> Virulent Large Charm	0				100					4	"mcha,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Uber Ancient Summon Material Act1 + 1 Rotting Fissure -> Virulent Rotting Fissure                                                                                                                                                                                                	1				100					4	PreCrafted Rotting Fissure	r18	gpg	xa1				Crafted Rotting Fissure	69																																																																																						0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Amulet -> Gelid Amulet	0				100					4	"amu,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Ring -> Gelid Ring	0				100					4	"ring,mag"	r17	gpb	xa2				"useitem,pre=683"				pierce-cold			1	2																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Helm -> Gelid Helm	0				100					4	"helm,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Boots -> Gelid Boots	0				100					4	"boot,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Gloves -> Gelid Gloves	0				100					4	"glov,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Armor -> Gelid Armor	0				100					4	"tors,mag"	r17	gpb	xa2				"useitem,pre=686"				pierce-cold			2	8																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Weapon -> Gelid Weapon	0				100					4	"weap,mag"	r17	gpb	xa2				"useitem,pre=685"				pierce-cold			1	4																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Shield -> Gelid Shield	0				100					4	"shie,mag"	r17	gpb	xa2				"useitem,pre=685"				pierce-cold			1	4																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Small Charm -> Gelid Small Charm	0				100					4	"scha,mag"	r17	gpb	xa2				"useitem,pre=682"				pierce-cold			1	1																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Large Charm -> Gelid Large Charm	0				100					4	"mcha,mag"	r17	gpb	xa2				"useitem,pre=683"				pierce-cold			1	2																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Grand Charm -> Gelid Grand Charm	0				100					4	"lcha,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Uber Ancient Summon Material Act2 + 1 Cold Rupture -> Gelid Cold Rupture	1				100					4	PreCrafted Cold Rupture	r17	gpb	xa2				Crafted Cold Rupture	69																																																																																						0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Amulet -> Magnetic Amulet	0				100					4	"amu,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Ring -> Magnetic Ring	0				100					4	"ring,mag"	r19	gpy	xa3				"useitem,pre=688"				pierce-ltng			1	2																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Helm -> Magnetic Helm	0				100					4	"helm,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Boots -> Magnetic Boots	0				100					4	"boot,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Gloves -> Magnetic Gloves	0				100					4	"glov,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Armor -> Magnetic Armor	0				100					4	"tors,mag"	r19	gpy	xa3				"useitem,pre=691"				pierce-ltng			2	8																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Weapon -> Magnetic Weapon	0				100					4	"weap,mag"	r19	gpy	xa3				"useitem,pre=690"				pierce-ltng			1	4																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Magic Shield -> Magnetic Shield	0				100					4	"shie,mag"	r19	gpy	xa3				"useitem,pre=690"				pierce-ltng			1	4																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Small Charm -> Magnetic Small Charm	0				100					4	"scha,mag"	r19	gpy	xa3				"useitem,pre=687"				pierce-ltng			1	1																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Large Charm -> Magnetic Large Charm	0				100					4	"mcha,mag"	r19	gpy	xa3				"useitem,pre=688"				pierce-ltng			1	2																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Southern Worldstone Shard + 1 Grand Charm -> Magnetic Grand Charm	0				100					4	"lcha,mag"	r19	gpy	xa3				"useitem,pre=689"				pierce-ltng			1	3																																																																															0
1 Fal Rune + 1 Perfect Topaz + 1 Uber Ancient Summon Material Act3 + 1 Crack of the Heavens -> Magnetic Crack of the Heavens	1				100					4	PreCrafted Crack of the Heavens	r19	gpy	xa3				Crafted Crack of the Heavens	69																																																																																						0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Amulet -> Incendiary Amulet	0				100					4	"amu,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Ring -> Incendiary Ring	0				100					4	"ring,mag"	r16	gpr	xa4				"useitem,pre=678"				pierce-fire			1	2																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Helm -> Incendiary Helm	0				100					4	"helm,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Boots -> Incendiary Boots	0				100					4	"boot,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Gloves -> Incendiary Gloves	0				100					4	"glov,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Armor -> Incendiary Armor	0				100					4	"tors,mag"	r16	gpr	xa4				"useitem,pre=681"				pierce-fire			2	8																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Weapon -> Incendiary Weapon	0				100					4	"weap,mag"	r16	gpr	xa4				"useitem,pre=680"				pierce-fire			1	4																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Magic Shield -> Incendiary Shield	0				100					4	"shie,mag"	r16	gpr	xa4				"useitem,pre=680"				pierce-fire			1	4																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Small Charm -> Incendiary Small Charm	0				100					4	"scha,mag"	r16	gpr	xa4				"useitem,pre=677"				pierce-fire			1	1																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Large Charm -> Incendiary Large Charm	0				100					4	"mcha,mag"	r16	gpr	xa4				"useitem,pre=678"				pierce-fire			1	2																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Deep Worldstone Shard + 1 Grand Charm -> Incendiary Grand Charm	0				100					4	"lcha,mag"	r16	gpr	xa4				"useitem,pre=679"				pierce-fire			1	3																																																																															0
1 Io Rune + 1 Perfect Ruby + 1 Uber Ancient Summon Material Act4 + 1 Flame Rift -> Incendiary Flame Rift	1				100					4	PreCrafted Flame Rift	r16	gpr	xa4				Crafted Flame Rift	69																																																																																						0
